building,distance_to_street_m
B101,30.47215096899685
B102,4.454490039857457
B103,40.183704917162466
B104,0.05080086868638117
B105,53.75826526288415
B106,37.80996443298035
B107,74.291706259456
B108,32.961928567143744
B109,53.60214201479143
B110,19.186735582836736
B111,59.8442628688401
B112,50.35953830079079
B113,67.4110230441604
B114,20.68956775466518
B115,42.426190787430826
B116,58.97960031941871
B117,65.59405705547908
B118,22.721778518606698
B164,38.181209331489505
B120,107.36994644890419
B121,82.27175518875165
B122,27.6020794716737
B196,33.52851225386218
B119,54.417226061408606
B193,36.29160375765707
B194,34.63152544670147
B195,70.5493315186108
B123,44.95641749293378
B124,30.186384157688916
B125,70.81495429776915
B126,20.674223699293584
B127,22.47629564082086
B128,44.804513625913124
B192,44.13524050453363
B129,12.822602449820163
B130,19.204626886633807
B131,35.979851678040134
B132,1.1719332043102575
B133,30.932648006167803
B134,43.65889937132971
B135,33.32853535131905
B136,18.681291728395962
B137,20.85362565426926
B138,27.82602335185829
B139,24.324781304028537
B140,23.56280697341025
B141,19.89360269145814
B142,11.50991323189198
B143,9.053518133295357
B144,7.922004529266559
B145,26.348672501368004
B146,20.61441659699171
B147,3.6128153695478153
B148,26.513993919077183
B149,2.5721018958589097
B150,4.496076859620392
B151,37.98469781350704
B152,39.758763358130125
B153,25.024363050761846
B154,12.144313911384591
B155,20.439876804421807
B156,14.603975648764333
B157,64.12505935333452
B158,61.714151176241366
B159,118.99146291469982
B160,73.90179673713718
B161,60.36969482691448
B162,73.71278110531544
B163,59.85547342182401
B165,70.64925536826878
B166,73.3811487622704
B167,90.14832475309342
B168,28.9011305018522
B169,26.77555007394696
B170,35.33868308880272
B171,33.485262493928595
B172,19.015598411107423
B173,31.604299726096237
B174,47.98934470744025
B175,79.45053352484562
B176,49.59555389775942
B177,30.507775940282965
B178,20.419152324725868
B179,20.92432360537488
B180,18.307990441257207
B181,35.975713207174934
B182,28.801556402370515
B183,31.345950863731684
B184,30.461701974794064
B185,74.51026985821613
B186,42.60786997958744
B187,12.853150306003453
B188,19.880829079078573
B189,66.28828236892282
B190,14.266335757299016
B191,31.032524473837167
B0000,33.882857080631
B0001,77.59283597861821
B0002,70.72299954716402
B0003,52.93319789172202
B0006,47.89531610498241
B0008,15.014016867996974
B0009,8.776771840322695
B0010,19.738340733910018
B0011,42.58419239935825
B0012,13.797897780855333
B0015,17.68248336415331
B0016,4.7416584698452615
B0017,29.97749841527161
B0018,31.15740182989467
B0019,23.535566676773925
B0020,32.42429667477696
B0021,49.8834549641436
B0022,28.149047025270765
B0023,14.777611644082578
B0024,78.35009696406289
B0025,47.69749726931538
B0026,1.9126993411354214
B0027,42.219400525628615
B0029,50.88905234660006
B0030,30.418077977790364
B0033,32.02210552944246
B0034,67.68853344871184
B0035,31.36017013549559
B0036,25.08152523377436
B0037,43.12263829701941
B0038,45.005330315767175
B0039,42.90810384780972
B0041,37.47504933089814
B0042,29.839313566616365
B0043,8.077669196776446
B0045,82.37052058102056
B0047,58.58511855000435
B0048,21.094569981837846
B0049,12.752269033614429
B0050,15.070950187758912
B0051,19.975949486148448
B0053,44.659876023344154
B0054,57.85037637442148
B0055,19.763048682711513
B0056,43.77939245399979
B0057,35.649187932084125
B0058,58.17906594988589
B0060,78.47021329513015
B0061,66.64938636270108
B0062,46.30938060908596
B0063,30.66739764724947
B0064,42.32648259824558
B0065,41.95015267979395
B0066,19.715545945421404
B0067,29.61447913274085
B0068,27.26133714652389
B0069,29.241142217629534
B0070,28.170143118978174
B0071,39.824523064892084
B0073,10.143062034922204
B0074,49.42852561286583
B0075,59.50951980507403
B0076,28.958923223250736
B0077,21.670120163157403
B0078,56.41939587485503
B0079,22.27524487246318
B0081,110.0162688966421
B0082,14.7996092006512
B0083,14.097350697787702
B0085,2.861832781601759
B0086,11.950922947189033
B0087,68.14017579938103
B197,50.52503708854146
B198,111.16796830046475
B199,46.901624688504945
B200,104.94723085498806
B201,72.5626989762327
B202,130.4186510532531
B203,28.524550532855812
B204,0.7296843747107528
B205,8.041250403423236
B206,26.204604126083403
B207,35.94850459971417
B208,21.530499642945827
B209,85.27039233760641
B210,62.58618289658757
B211,22.56789561065056
B212,79.74669182622179
B213,58.42572768968774
B214,42.535562828216925
B215,43.360390498633045
B216,24.14144858983522
B217,25.07757093156472
B218,24.61539843363732
B219,31.136859462784493
B220,25.9314300272973
B221,43.00605314222148
B222,39.88763503008631
B223,42.61003250579656
B224,42.26644717631384
B225,50.998706875555996
B226,39.563043482979566
B227,24.33210209203447
B228,22.231019762239853
B229,67.09148143205924
B230,89.45632987623556
B231,75.05933637272086
