name,dist_m
B101,inf
B0050,inf
B0048,inf
B0047,inf
B0045,inf
B0041,inf
B0038,inf
B0037,inf
B0036,inf
B0035,inf
B0034,inf
B0033,inf
B0023,inf
B0022,inf
B0021,inf
B0020,inf
B0019,inf
B0018,inf
B0017,inf
B0049,inf
B0051,inf
B102,inf
B0053,inf
B0083,inf
B0082,inf
B0078,inf
B0077,inf
B0076,inf
B0075,inf
B0074,inf
B0073,inf
B0071,inf
B0062,inf
B0061,inf
B0060,inf
B0058,inf
B0057,inf
B0056,inf
B0055,inf
B0054,inf
B0016,inf
B0015,inf
B0012,inf
B0008,inf
B164,inf
B118,inf
B117,inf
B116,inf
B115,inf
B114,inf
B113,inf
B112,inf
B111,inf
B110,inf
B109,inf
B108,inf
B107,inf
B106,inf
B105,inf
B104,inf
B103,inf
B120,inf
B121,inf
B122,inf
B127,inf
B0003,inf
B0002,inf
B0001,inf
B0000,inf
B129,inf
B192,inf
B128,inf
B126,inf
B196,inf
B125,inf
B124,inf
B123,inf
B195,inf
B194,inf
B193,inf
B119,inf
B0087,inf
